t,Goal Position,Actual Position,Actual Velocity,Velocity Limit,commend_time
0.015703678131103516,1625,2439,0,-50,0.1311643123626709
0.031630754470825195,1625,2439,0,-50,0.1311643123626709
0.04761075973510742,1625,2439,0,-50,0.1311643123626709
0.06369280815124512,1625,2439,0,-50,0.1311643123626709
0.07967996597290039,1625,2438,0,-50,0.1311643123626709
0.0956888198852539,1625,2436,-1,-50,0.1311643123626709
0.1117548942565918,1625,2434,-2,-50,0.1311643123626709
0.12775182723999023,1625,2433,-4,-50,0.1311643123626709
0.14353370666503906,1625,2431,-5,-50,0.1311643123626709
0.15972375869750977,1625,2429,-6,-50,0.1311643123626709
0.1755526065826416,1625,2426,-7,-50,0.1311643123626709
0.1915738582611084,1625,2424,-8,-50,0.1311643123626709
0.2075955867767334,1625,2421,-8,-50,0.1311643123626709
0.22349166870117188,1625,2418,-9,-50,0.1311643123626709
0.23956298828125,1625,2415,-10,-50,0.1311643123626709
0.2555527687072754,1625,2412,-11,-50,0.1311643123626709
0.27158284187316895,1625,2408,-12,-50,0.1311643123626709
0.2874906063079834,1625,2403,-13,-50,0.1311643123626709
0.3035848140716553,1625,2399,-15,-50,0.1311643123626709
0.3195209503173828,1625,2393,-16,-50,0.1311643123626709
0.3356478214263916,1625,2388,-17,-50,0.1311643123626709
0.3514847755432129,1625,2382,-19,-50,0.1311643123626709
0.3675048351287842,1625,2376,-21,-50,0.1311643123626709
0.38352370262145996,1625,2369,-22,-50,0.1311643123626709
0.3995678424835205,1625,2362,-24,-50,0.1311643123626709
0.41554880142211914,1625,2355,-25,-50,0.1311643123626709
0.43146491050720215,1625,2347,-26,-50,0.1311643123626709
0.44747495651245117,1625,2339,-28,-50,0.1311643123626709
0.463472843170166,1625,2331,-29,-50,0.1311643123626709
0.4794597625732422,1625,2323,-30,-50,0.1311643123626709
0.49555373191833496,1625,2314,-30,-50,0.1311643123626709
0.5114867687225342,1625,2305,-31,-50,0.1311643123626709
0.5275089740753174,1625,2297,-32,-50,0.1311643123626709
0.5434596538543701,1625,2288,-33,-50,0.1311643123626709
0.5595047473907471,1625,2278,-34,-50,0.1311643123626709
0.5755558013916016,1625,2268,-35,-50,0.1311643123626709
0.5915646553039551,1625,2258,-37,-50,0.1311643123626709
0.6076717376708984,1625,2247,-38,-50,0.1311643123626709
0.6236469745635986,1625,2236,-40,-50,0.1311643123626709
0.6396048069000244,1625,2225,-42,-50,0.1311643123626709
0.6555519104003906,1625,2213,-43,-50,0.1311643123626709
0.6715309619903564,1625,2199,-45,-50,0.1311643123626709
0.6874778270721436,1625,2186,-46,-50,0.1311643123626709
0.7034528255462646,1625,2174,-48,-50,0.1311643123626709
0.7195098400115967,1625,2162,-48,-50,0.1311643123626709
0.7355027198791504,1625,2150,-49,-50,0.1311643123626709
0.7514607906341553,1625,2138,-48,-50,0.1311643123626709
0.7675728797912598,1625,2127,-48,-50,0.1311643123626709
0.7835607528686523,1625,2115,-47,-50,0.1311643123626709
0.7995278835296631,1625,2103,-46,-50,0.1311643123626709
0.8155367374420166,1625,2089,-47,-50,0.1311643123626709
0.8314738273620605,1625,2075,-48,-50,0.1311643123626709
0.8474376201629639,1625,2062,-50,-50,0.1311643123626709
0.8634397983551025,1625,2049,-51,-50,0.1311643123626709
0.8794727325439453,1625,2037,-51,-50,0.1311643123626709
0.8954308032989502,1625,2024,-51,-50,0.1311643123626709
0.9115488529205322,1625,2012,-51,-50,0.1311643123626709
0.9274916648864746,1625,1999,-50,-50,0.1311643123626709
0.9434478282928467,1625,1988,-49,-50,0.1311643123626709
0.9594659805297852,1625,1977,-48,-50,0.1311643123626709
0.9754939079284668,1625,1966,-46,-50,0.1311643123626709
0.991487979888916,1625,1954,-46,-50,0.1311643123626709
1.0074348449707031,1625,1939,-46,-50,0.1311643123626709
1.0234577655792236,1625,1926,-47,-50,0.1311643123626709
1.039538860321045,1625,1912,-50,-50,0.1311643123626709
1.0554907321929932,1625,1897,-52,-50,0.1311643123626709
1.0715949535369873,1625,1885,-54,-50,0.1311643123626709
1.0874648094177246,1625,1873,-53,-50,0.1311643123626709
1.1036067008972168,1625,1861,-52,-50,0.1311643123626709
1.1195976734161377,1625,1849,-50,-50,0.1311643123626709
1.1356067657470703,1625,1838,-48,-50,0.1311643123626709
1.1514527797698975,1625,1827,-46,-50,0.1311643123626709
1.1674928665161133,1625,1816,-45,-50,0.1311643123626709
1.1836788654327393,1625,1806,-44,-50,0.1311643123626709
1.199577808380127,1625,1795,-43,-50,0.1311643123626709
1.2155637741088867,1625,1785,-42,-50,0.1311643123626709
1.2315106391906738,1625,1776,-42,-50,0.1311643123626709
1.2475719451904297,1625,1766,-41,-50,0.1311643123626709
