t,Goal Position,Actual Position,Actual Velocity,Velocity Limit,commend_time
0.016095876693725586,1625,2437,0,-50,0.13507819175720215
0.031980037689208984,1625,2436,0,-50,0.13507819175720215
0.0480189323425293,1625,2436,0,-50,0.13507819175720215
0.06396698951721191,1625,2435,0,-50,0.13507819175720215
0.07991385459899902,1625,2434,-1,-50,0.13507819175720215
0.09596991539001465,1625,2433,-2,-50,0.13507819175720215
0.11206603050231934,1625,2432,-3,-50,0.13507819175720215
0.12803888320922852,1625,2431,-3,-50,0.13507819175720215
0.1440589427947998,1625,2429,-4,-50,0.13507819175720215
0.15996193885803223,1625,2426,-5,-50,0.13507819175720215
0.176041841506958,1625,2424,-6,-50,0.13507819175720215
0.1921699047088623,1625,2422,-7,-50,0.13507819175720215
0.20816898345947266,1625,2419,-8,-50,0.13507819175720215
0.22408795356750488,1625,2416,-9,-50,0.13507819175720215
0.2400529384613037,1625,2413,-10,-50,0.13507819175720215
0.25604987144470215,1625,2409,-11,-50,0.13507819175720215
0.2720630168914795,1625,2405,-12,-50,0.13507819175720215
0.2879769802093506,1625,2401,-13,-50,0.13507819175720215
0.3040440082550049,1625,2396,-14,-50,0.13507819175720215
0.32002878189086914,1625,2391,-16,-50,0.13507819175720215
0.3359360694885254,1625,2386,-17,-50,0.13507819175720215
0.351942777633667,1625,2380,-18,-50,0.13507819175720215
0.3679370880126953,1625,2373,-20,-50,0.13507819175720215
0.38397908210754395,1625,2367,-22,-50,0.13507819175720215
0.4000539779663086,1625,2360,-24,-50,0.13507819175720215
0.41605186462402344,1625,2353,-25,-50,0.13507819175720215
0.43209195137023926,1625,2345,-26,-50,0.13507819175720215
0.4480469226837158,1625,2337,-28,-50,0.13507819175720215
0.4640529155731201,1625,2328,-29,-50,0.13507819175720215
0.4799540042877197,1625,2320,-30,-50,0.13507819175720215
0.4959709644317627,1625,2311,-31,-50,0.13507819175720215
0.5121209621429443,1625,2302,-32,-50,0.13507819175720215
0.5279929637908936,1625,2293,-33,-50,0.13507819175720215
0.543975830078125,1625,2284,-34,-50,0.13507819175720215
0.560093879699707,1625,2275,-35,-50,0.13507819175720215
0.5759639739990234,1625,2265,-36,-50,0.13507819175720215
0.5920619964599609,1625,2255,-36,-50,0.13507819175720215
0.6079778671264648,1625,2247,-36,-50,0.13507819175720215
0.6241409778594971,1625,2237,-36,-50,0.13507819175720215
