t,Goal Position,Actual Position,Actual Velocity
1.3467369079589844,2554,2557,-16
1.363598108291626,2554,2554,-15
1.378829002380371,2554,2551,-14
1.3948237895965576,2554,2549,-13
1.4109890460968018,2554,2547,-11
1.4266438484191895,2554,2547,-9
1.4426770210266113,2554,2547,-7
1.4586098194122314,2554,2547,-4
1.474668025970459,2554,2547,-2
1.4908459186553955,2554,2547,0
1.5068097114562988,2554,2548,0
1.5226929187774658,2554,2549,1
1.5387399196624756,2554,2550,2
1.5550520420074463,2554,2551,3
1.5708858966827393,2554,2552,3
1.5868439674377441,2554,2552,3
1.6027231216430664,2554,2553,3
1.618786096572876,2554,2553,2
1.6346087455749512,2554,2553,1
1.6507399082183838,2554,2553,0
1.6666538715362549,2554,2553,0
1.6826608180999756,2554,2553,0
1.698734998703003,2554,2553,0
1.7149639129638672,2554,2553,0
1.7307467460632324,2554,2553,0
1.746795892715454,2554,2553,0
1.7786879539489746,2543,2553,0
1.794767141342163,2543,2552,0
1.8108079433441162,2543,2553,0
1.8267669677734375,2543,2552,0
1.8426177501678467,2543,2553,0
1.8585960865020752,2543,2553,0
1.8746979236602783,2543,2552,0
1.8907098770141602,2543,2551,-1
1.9067120552062988,2543,2548,-2
1.9227120876312256,2543,2547,-3
1.9386920928955078,2543,2546,-5
1.954658031463623,2543,2544,-5
1.9708290100097656,2543,2544,-5
1.9868311882019043,2543,2544,-4
2.0028138160705566,2543,2544,-3
2.0188400745391846,2543,2544,-1
2.034701108932495,2543,2544,0
2.0507078170776367,2543,2545,0
2.0666680335998535,2543,2544,0
2.082758903503418,2543,2544,0
2.098724126815796,2543,2544,0
2.114763021469116,2543,2544,0
2.1306569576263428,2543,2544,0
2.146677017211914,2543,2544,0
2.162660837173462,2543,2544,0
2.1786627769470215,2543,2544,0
2.194783926010132,2543,2544,0
2.2266509532928467,2534,2544,0
2.242661952972412,2534,2544,0
2.258584976196289,2534,2542,0
2.274590015411377,2534,2542,-1
2.290599822998047,2534,2541,-2
2.3065438270568848,2534,2540,-2
2.3227200508117676,2534,2539,-3
2.338681936264038,2534,2538,-3
2.354691982269287,2534,2536,-3
2.370661973953247,2534,2535,-4
2.3867220878601074,2534,2535,-4
2.4027509689331055,2534,2535,-3
